id,category,title,detail_url,caption,page_1,page_2,page_3,page_4,page_5
mechanism-diagram-011,Mechanisms & Pathways,T Cell Receptor Signaling And Downstream Transcription Factors,https://figpad.ai/scientific-visualization/t-cell-receptor-signaling,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/011-t-cell-receptor-signaling-and-downstream-transcription-factors/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/011-t-cell-receptor-signaling-and-downstream-transcription-factors/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/011-t-cell-receptor-signaling-and-downstream-transcription-factors/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/011-t-cell-receptor-signaling-and-downstream-transcription-factors/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/011-t-cell-receptor-signaling-and-downstream-transcription-factors/05_cta.png
mechanism-diagram-012,Mechanisms & Pathways,PI3K-AKT-mTOR Signaling Axis In Cancer Cell Survival,https://figpad.ai/scientific-visualization/pi3k-akt-mtor-signaling-isometric-technical,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/012-pi3k-akt-mtor-signaling-axis-in-cancer-cell-survival/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/012-pi3k-akt-mtor-signaling-axis-in-cancer-cell-survival/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/012-pi3k-akt-mtor-signaling-axis-in-cancer-cell-survival/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/012-pi3k-akt-mtor-signaling-axis-in-cancer-cell-survival/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/012-pi3k-akt-mtor-signaling-axis-in-cancer-cell-survival/05_cta.png
mechanism-diagram-013,Mechanisms & Pathways,NF-kB Inflammatory Activation Cascade In Macrophages,https://figpad.ai/scientific-visualization/nf-kb-inflammatory-activation-watercolor-texture-ink-line,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/013-nf-kb-inflammatory-activation-cascade-in-macrophages/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/013-nf-kb-inflammatory-activation-cascade-in-macrophages/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/013-nf-kb-inflammatory-activation-cascade-in-macrophages/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/013-nf-kb-inflammatory-activation-cascade-in-macrophages/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/013-nf-kb-inflammatory-activation-cascade-in-macrophages/05_cta.png
mechanism-diagram-014,Mechanisms & Pathways,DNA Damage Sensing And Checkpoint Activation By ATM-ATR,https://figpad.ai/scientific-visualization/dna-damage-sensing-checkpoint-clean-vector,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/014-dna-damage-sensing-and-checkpoint-activation-by-atm-atr/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/014-dna-damage-sensing-and-checkpoint-activation-by-atm-atr/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/014-dna-damage-sensing-and-checkpoint-activation-by-atm-atr/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/014-dna-damage-sensing-and-checkpoint-activation-by-atm-atr/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/014-dna-damage-sensing-and-checkpoint-activation-by-atm-atr/05_cta.png
mechanism-diagram-015,Mechanisms & Pathways,Autophagy Initiation And Lysosomal Degradation Pathway,https://figpad.ai/scientific-visualization/autophagy-initiation-lysosomal-degradation-schematic-minimal,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/015-autophagy-initiation-and-lysosomal-degradation-pathway/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/015-autophagy-initiation-and-lysosomal-degradation-pathway/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/015-autophagy-initiation-and-lysosomal-degradation-pathway/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/015-autophagy-initiation-and-lysosomal-degradation-pathway/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/015-autophagy-initiation-and-lysosomal-degradation-pathway/05_cta.png
process-flow-diagram-016,Process & Workflow,Illumina Next-Generation Sequencing,https://figpad.ai/scientific-visualization/illumina-next-generation-sequencing,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/016-illumina-next-generation-sequencing/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/016-illumina-next-generation-sequencing/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/016-illumina-next-generation-sequencing/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/016-illumina-next-generation-sequencing/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/016-illumina-next-generation-sequencing/05_cta.png
process-flow-diagram-017,Process & Workflow,10x Genomics Chromium Single-cell RNA-seq,https://figpad.ai/scientific-visualization/10x-genomics-chromium-single,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/017-10x-genomics-chromium-single-cell-rna-seq/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/017-10x-genomics-chromium-single-cell-rna-seq/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/017-10x-genomics-chromium-single-cell-rna-seq/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/017-10x-genomics-chromium-single-cell-rna-seq/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/017-10x-genomics-chromium-single-cell-rna-seq/05_cta.png
process-flow-diagram-018,Process & Workflow,Pharmaceutical Drug Development Pipeline,https://figpad.ai/scientific-visualization/pharmaceutical-drug-development-pipeline,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/018-pharmaceutical-drug-development-pipeline/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/018-pharmaceutical-drug-development-pipeline/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/018-pharmaceutical-drug-development-pipeline/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/018-pharmaceutical-drug-development-pipeline/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/018-pharmaceutical-drug-development-pipeline/05_cta.png
process-flow-diagram-019,Process & Workflow,Workflow For CRISPR Genome-wide Knockout Screen,https://figpad.ai/scientific-visualization/workflow-crispr-genome-wide,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/019-workflow-for-crispr-genome-wide-knockout-screen/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/019-workflow-for-crispr-genome-wide-knockout-screen/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/019-workflow-for-crispr-genome-wide-knockout-screen/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/019-workflow-for-crispr-genome-wide-knockout-screen/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/019-workflow-for-crispr-genome-wide-knockout-screen/05_cta.png
process-flow-diagram-020,Process & Workflow,Laboratory Workflow For Recombinant Protein Expression And Purification,https://figpad.ai/scientific-visualization/laboratory-workflow-recombinant-protein,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/020-laboratory-workflow-for-recombinant-protein-expression-and-purification/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/020-laboratory-workflow-for-recombinant-protein-expression-and-purification/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/020-laboratory-workflow-for-recombinant-protein-expression-and-purification/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/020-laboratory-workflow-for-recombinant-protein-expression-and-purification/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/020-laboratory-workflow-for-recombinant-protein-expression-and-purification/05_cta.png
process-flow-diagram-021,Process & Workflow,Bioinformatics Workflow For Bulk RNA-seq Differential Expression Analysis,https://figpad.ai/scientific-visualization/bioinformatics-workflow-bulk-rna,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/021-bioinformatics-workflow-for-bulk-rna-seq-differential-expression-analysis/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/021-bioinformatics-workflow-for-bulk-rna-seq-differential-expression-analysis/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/021-bioinformatics-workflow-for-bulk-rna-seq-differential-expression-analysis/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/021-bioinformatics-workflow-for-bulk-rna-seq-differential-expression-analysis/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/021-bioinformatics-workflow-for-bulk-rna-seq-differential-expression-analysis/05_cta.png
process-flow-diagram-022,Process & Workflow,Multicolor Flow Cytometry Experimental Workflow,https://figpad.ai/scientific-visualization/multicolor-flow-cytometry-experimental,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/022-multicolor-flow-cytometry-experimental-workflow/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/022-multicolor-flow-cytometry-experimental-workflow/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/022-multicolor-flow-cytometry-experimental-workflow/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/022-multicolor-flow-cytometry-experimental-workflow/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/022-multicolor-flow-cytometry-experimental-workflow/05_cta.png
process-flow-diagram-023,Process & Workflow,Step-by-step Western Blot Protocol Figure,https://figpad.ai/scientific-visualization/step-by-step-western,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/023-step-by-step-western-blot-protocol-figure/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/023-step-by-step-western-blot-protocol-figure/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/023-step-by-step-western-blot-protocol-figure/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/023-step-by-step-western-blot-protocol-figure/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/023-step-by-step-western-blot-protocol-figure/05_cta.png
process-flow-diagram-024,Process & Workflow,Workflow For Cryo-electron Microscopy Single-particle Analysis,https://figpad.ai/scientific-visualization/workflow-cryo-electron-microscopy,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/024-workflow-for-cryo-electron-microscopy-single-particle-analysis/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/024-workflow-for-cryo-electron-microscopy-single-particle-analysis/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/024-workflow-for-cryo-electron-microscopy-single-particle-analysis/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/024-workflow-for-cryo-electron-microscopy-single-particle-analysis/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/024-workflow-for-cryo-electron-microscopy-single-particle-analysis/05_cta.png
process-flow-diagram-025,Process & Workflow,Workflow For Untargeted LC-MS/MS Metabolomics,https://figpad.ai/scientific-visualization/workflow-untargeted-lc-ms,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/025-workflow-for-untargeted-lc-ms-ms-metabolomics/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/025-workflow-for-untargeted-lc-ms-ms-metabolomics/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/025-workflow-for-untargeted-lc-ms-ms-metabolomics/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/025-workflow-for-untargeted-lc-ms-ms-metabolomics/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/025-workflow-for-untargeted-lc-ms-ms-metabolomics/05_cta.png
process-flow-diagram-026,Process & Workflow,Single-cell RNA-seq Experiment From Sample Prep To Clustering,https://figpad.ai/scientific-visualization/single-cell-rna-seq-schematic-minimal,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/026-single-cell-rna-seq-experiment-from-sample-prep-to-clustering/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/026-single-cell-rna-seq-experiment-from-sample-prep-to-clustering/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/026-single-cell-rna-seq-experiment-from-sample-prep-to-clustering/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/026-single-cell-rna-seq-experiment-from-sample-prep-to-clustering/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/026-single-cell-rna-seq-experiment-from-sample-prep-to-clustering/05_cta.png
process-flow-diagram-027,Process & Workflow,CRISPR Pooled Screening Pipeline With Sequencing Readout,https://figpad.ai/scientific-visualization/crispr-pooled-screening-pipeline-clean-vector,This is the workflow prompt behind the figure. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/027-crispr-pooled-screening-pipeline-with-sequencing-readout/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/027-crispr-pooled-screening-pipeline-with-sequencing-readout/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/027-crispr-pooled-screening-pipeline-with-sequencing-readout/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/027-crispr-pooled-screening-pipeline-with-sequencing-readout/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/process-flow-diagram/027-crispr-pooled-screening-pipeline-with-sequencing-readout/05_cta.png
